LineId,Date,Timestamp,EventCode,MessageType,Content,EventId,EventTemplate,ParameterList
1,2019-08-23,22:20:31.632,9,INFO,armada.handlers.lock [-] Acquiring lock[00m,f70ec6ac,armada.handlers.lock <*> <*> lock[00m,['[-] Acquiring']
2,2019-08-23,22:20:33.317,9,INFO,"armada.handlers.lock [-] Lock Custom Resource Definition not found, creating now[00m",12ac5952,armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m,['[-]']
3,2019-08-23,22:20:33.345,9,INFO,"armada.handlers.lock [-] Lock Custom Resource Definition not found, creating now[00m",12ac5952,armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m,['[-]']
4,2019-08-23,22:20:33.543,9,INFO,armada.handlers.armada [-] Performing pre-flight operations.[00m,2aca0081,armada.handlers.armada <*> Performing <*> operations.[00m,"['[-]', 'pre-flight']"
5,2019-08-23,22:20:33.543,9,INFO,armada.handlers.armada [-] Cloning repo: https://opendev.org/openstack/openstack-helm-infra from branch: bc20c6c8b6de08659be7e469388fe2f6ac231dd1[00m,f1e3f94e,armada.handlers.armada <*> Cloning repo https <*> from branch <*>,"['[-]', 'opendev.org/openstack/openstack-helm-infra', 'bc20c6c8b6de08659be7e469388fe2f6ac231dd1\x1b[00m']"
6,2019-08-23,22:20:37.871,9,INFO,armada.handlers.armada [-] Cloning repo: https://opendev.org/airship/promenade from branch: 89f9842b2ec428709a05fd0a8d4cd1796043375d[00m,f1e3f94e,armada.handlers.armada <*> Cloning repo https <*> from branch <*>,"['[-]', 'opendev.org/airship/promenade', '89f9842b2ec428709a05fd0a8d4cd1796043375d\x1b[00m']"
7,2019-08-23,22:20:41.460,9,INFO,armada.handlers.armada [-] Cloning repo: https://opendev.org/openstack/openstack-helm from branch: 50c982eab03a0d04487479680c02f74bc6ef3e29[00m,f1e3f94e,armada.handlers.armada <*> Cloning repo https <*> from branch <*>,"['[-]', 'opendev.org/openstack/openstack-helm', '50c982eab03a0d04487479680c02f74bc6ef3e29\x1b[00m']"
8,2019-08-23,22:20:46.264,9,INFO,armada.handlers.armada [-] Cloning repo: https://opendev.org/airship/divingbell from branch: d3b1a5c9852cd9454a21510b345a874414298d8e[00m,f1e3f94e,armada.handlers.armada <*> Cloning repo https <*> from branch <*>,"['[-]', 'opendev.org/airship/divingbell', 'd3b1a5c9852cd9454a21510b345a874414298d8e\x1b[00m']"
9,2019-08-23,22:20:49.481,9,INFO,armada.handlers.armada [-] Cloning repo: https://opendev.org/airship/armada from branch: b787c418e313208a406c3d609c801dcdef84b5d2[00m,f1e3f94e,armada.handlers.armada <*> Cloning repo https <*> from branch <*>,"['[-]', 'opendev.org/airship/armada', 'b787c418e313208a406c3d609c801dcdef84b5d2\x1b[00m']"
10,2019-08-23,22:20:52.957,9,INFO,armada.handlers.armada [-] Cloning repo: https://opendev.org/airship/deckhand from branch: a4850f8c4fc02dd1971282c6d9e4beb9cd5be320[00m,f1e3f94e,armada.handlers.armada <*> Cloning repo https <*> from branch <*>,"['[-]', 'opendev.org/airship/deckhand', 'a4850f8c4fc02dd1971282c6d9e4beb9cd5be320\x1b[00m']"
11,2019-08-23,22:20:56.467,9,INFO,armada.handlers.armada [-] Cloning repo: https://opendev.org/airship/maas from branch: 922db8aee15f978b9e58a9a2a1c0052febc41aa8[00m,f1e3f94e,armada.handlers.armada <*> Cloning repo https <*> from branch <*>,"['[-]', 'opendev.org/airship/maas', '922db8aee15f978b9e58a9a2a1c0052febc41aa8\x1b[00m']"
