,LineId,Date,Timestamp,EventCode,MessageType,Action,Delim,Content,EventId,EventTemplate,Key_0,Val_0,Key_1,Val_1,Key_2,Val_2,Key_3,Val_3
0,1,2019-08-23,22:20:31.632,9,INFO,armada.handlers.lock,[-],Acquiring lock[00m,e6ba2d2e,Acquiring lock[00m,Acquiring lock,None,NotPresent,None,NotPresent,None,NotPresent,None
1,2,2019-08-23,22:20:33.317,9,INFO,armada.handlers.lock,[-],"Lock Custom Resource Definition not found, creating now[00m",6254d2d3,Lock Custom Resource Definition not found creating now[00m,Lock Custom Resource Definition not found creating now,None,NotPresent,None,NotPresent,None,NotPresent,None
2,3,2019-08-23,22:20:33.345,9,INFO,armada.handlers.lock,[-],"Lock Custom Resource Definition not found, creating now[00m",6254d2d3,Lock Custom Resource Definition not found creating now[00m,Lock Custom Resource Definition not found creating now,None,NotPresent,None,NotPresent,None,NotPresent,None
3,4,2019-08-23,22:20:33.543,9,INFO,armada.handlers.armada,[-],Performing pre-flight operations.[00m,de8c83c6,Performing pre-flight operations.[00m,Performing pre-flight operations.,None,NotPresent,None,NotPresent,None,NotPresent,None
4,5,2019-08-23,22:20:33.543,9,INFO,armada.handlers.armada,[-],Cloning repo: https://opendev.org/openstack/openstack-helm-infra from branch: bc20c6c8b6de08659be7e469388fe2f6ac231dd1[00m,18176b12,Cloning repo https <*> from branch <*>,Cloning repo https ,opendev.org/openstack/openstack-helm-infra, from branch ,bc20c6c8b6de08659be7e469388fe2f6ac231dd1,Not Present,None,NotPresent,None
5,6,2019-08-23,22:20:37.871,9,INFO,armada.handlers.armada,[-],Cloning repo: https://opendev.org/airship/promenade from branch: 89f9842b2ec428709a05fd0a8d4cd1796043375d[00m,18176b12,Cloning repo https <*> from branch <*>,Cloning repo https ,opendev.org/airship/promenade, from branch ,89f9842b2ec428709a05fd0a8d4cd1796043375d,Not Present,None,NotPresent,None
6,7,2019-08-23,22:20:41.460,9,INFO,armada.handlers.armada,[-],Cloning repo: https://opendev.org/openstack/openstack-helm from branch: 50c982eab03a0d04487479680c02f74bc6ef3e29[00m,18176b12,Cloning repo https <*> from branch <*>,Cloning repo https ,opendev.org/openstack/openstack-helm, from branch ,50c982eab03a0d04487479680c02f74bc6ef3e29,Not Present,None,NotPresent,None
7,8,2019-08-23,22:20:46.264,9,INFO,armada.handlers.armada,[-],Cloning repo: https://opendev.org/airship/divingbell from branch: d3b1a5c9852cd9454a21510b345a874414298d8e[00m,18176b12,Cloning repo https <*> from branch <*>,Cloning repo https ,opendev.org/airship/divingbell, from branch ,d3b1a5c9852cd9454a21510b345a874414298d8e,Not Present,None,NotPresent,None
8,9,2019-08-23,22:20:49.481,9,INFO,armada.handlers.armada,[-],Cloning repo: https://opendev.org/airship/armada from branch: b787c418e313208a406c3d609c801dcdef84b5d2[00m,18176b12,Cloning repo https <*> from branch <*>,Cloning repo https ,opendev.org/airship/armada, from branch ,b787c418e313208a406c3d609c801dcdef84b5d2,Not Present,None,NotPresent,None
9,10,2019-08-23,22:20:52.957,9,INFO,armada.handlers.armada,[-],Cloning repo: https://opendev.org/airship/deckhand from branch: a4850f8c4fc02dd1971282c6d9e4beb9cd5be320[00m,18176b12,Cloning repo https <*> from branch <*>,Cloning repo https ,opendev.org/airship/deckhand, from branch ,a4850f8c4fc02dd1971282c6d9e4beb9cd5be320,Not Present,None,NotPresent,None
