,Template
0,armada.handlers.lock <*> <*> lock[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.armada <*> Performing <*> operations.[00m_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Processing ChartGroup <*> <*> sequenced <*>_armada.handlers.chart_deploy <*> <*> Processing Chart release <*>_armada.handlers.chart_deploy <*> <*> known <*> release_name airship-podsecuritypolicy[00m_armada.handlers.wait <*> <*> No Chart timeout specified using default 900s[00m_armada.handlers.chartbuilder <*> <*> Building dependency chart <*> for release <*>_armada.handlers.chart_deploy <*> <*> Installing release <*> in namespace <*> wait <*> timeout <*>_armada.handlers.tiller <*> <*> Helm install release wait <*> timeout <*>
1,armada.handlers.lock <*> <*> lock[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.armada <*> Performing <*> operations.[00m_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Processing ChartGroup <*> <*> sequenced <*>_armada.handlers.chart_deploy <*> <*> Processing Chart release <*>_armada.handlers.chart_deploy <*> <*> known <*> release_name airship-podsecuritypolicy[00m_armada.handlers.wait <*> <*> No Chart timeout specified using default 900s[00m_armada.handlers.chartbuilder <*> <*> Building dependency chart <*> for release <*>_armada.handlers.chart_deploy <*> <*> Installing release <*> in namespace <*> wait <*> timeout <*>_armada.handlers.tiller <*> <*> Helm install release wait <*> timeout <*>
2,armada.handlers.lock <*> <*> lock[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.armada <*> Performing <*> operations.[00m_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Processing ChartGroup <*> <*> sequenced <*>_armada.handlers.chart_deploy <*> <*> Processing Chart release <*>_armada.handlers.chart_deploy <*> <*> known <*> release_name airship-podsecuritypolicy[00m_armada.handlers.wait <*> <*> No Chart timeout specified using default 900s[00m_armada.handlers.chartbuilder <*> <*> Building dependency chart <*> for release <*>_armada.handlers.chart_deploy <*> <*> Installing release <*> in namespace <*> wait <*> timeout <*>_armada.handlers.tiller <*> <*> Helm install release wait <*> timeout <*>
3,armada.handlers.lock <*> <*> lock[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.armada <*> Performing <*> operations.[00m_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Processing ChartGroup <*> <*> sequenced <*>_armada.handlers.chart_deploy <*> <*> Processing Chart release <*>_armada.handlers.chart_deploy <*> <*> known <*> release_name airship-podsecuritypolicy[00m_armada.handlers.wait <*> <*> No Chart timeout specified using default 900s[00m_armada.handlers.chartbuilder <*> <*> Building dependency chart <*> for release <*>_armada.handlers.chart_deploy <*> <*> Installing release <*> in namespace <*> wait <*> timeout <*>_armada.handlers.tiller <*> <*> Helm install release wait <*> timeout <*>
4,armada.handlers.lock <*> <*> lock[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.armada <*> Performing <*> operations.[00m_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Processing ChartGroup <*> <*> sequenced <*>_armada.handlers.chart_deploy <*> <*> Processing Chart release <*>_armada.handlers.chart_deploy <*> <*> known <*> release_name airship-podsecuritypolicy[00m_armada.handlers.wait <*> <*> No Chart timeout specified using default 900s[00m_armada.handlers.chartbuilder <*> <*> Building dependency chart <*> for release <*>_armada.handlers.chart_deploy <*> <*> Installing release <*> in namespace <*> wait <*> timeout <*>_armada.handlers.tiller <*> <*> Helm install release wait <*> timeout <*>
5,armada.handlers.lock <*> <*> lock[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.armada <*> Performing <*> operations.[00m_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Processing ChartGroup <*> <*> sequenced <*>_armada.handlers.chart_deploy <*> <*> Processing Chart release <*>_armada.handlers.chart_deploy <*> <*> known <*> release_name airship-podsecuritypolicy[00m_armada.handlers.wait <*> <*> No Chart timeout specified using default 900s[00m_armada.handlers.chartbuilder <*> <*> Building dependency chart <*> for release <*>_armada.handlers.chart_deploy <*> <*> Installing release <*> in namespace <*> wait <*> timeout <*>_armada.handlers.tiller <*> <*> Helm install release wait <*> timeout <*>
6,armada.handlers.lock <*> <*> lock[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.armada <*> Performing <*> operations.[00m_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Processing ChartGroup <*> <*> sequenced <*>_armada.handlers.chart_deploy <*> <*> Processing Chart release <*>_armada.handlers.chart_deploy <*> <*> known <*> release_name airship-podsecuritypolicy[00m_armada.handlers.wait <*> <*> No Chart timeout specified using default 900s[00m_armada.handlers.chartbuilder <*> <*> Building dependency chart <*> for release <*>_armada.handlers.chart_deploy <*> <*> Installing release <*> in namespace <*> wait <*> timeout <*>_armada.handlers.tiller <*> <*> Helm install release wait <*> timeout <*>
7,armada.handlers.lock <*> <*> lock[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.armada <*> Performing <*> operations.[00m_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Processing ChartGroup <*> <*> sequenced <*>_armada.handlers.chart_deploy <*> <*> Processing Chart release <*>_armada.handlers.chart_deploy <*> <*> known <*> release_name airship-podsecuritypolicy[00m_armada.handlers.wait <*> <*> No Chart timeout specified using default 900s[00m_armada.handlers.chartbuilder <*> <*> Building dependency chart <*> for release <*>_armada.handlers.chart_deploy <*> <*> Installing release <*> in namespace <*> wait <*> timeout <*>_armada.handlers.tiller <*> <*> Helm install release wait <*> timeout <*>
8,armada.handlers.lock <*> <*> lock[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.armada <*> Performing <*> operations.[00m_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Processing ChartGroup <*> <*> sequenced <*>_armada.handlers.chart_deploy <*> <*> Processing Chart release <*>_armada.handlers.chart_deploy <*> <*> known <*> release_name airship-podsecuritypolicy[00m_armada.handlers.wait <*> <*> No Chart timeout specified using default 900s[00m_armada.handlers.chartbuilder <*> <*> Building dependency chart <*> for release <*>_armada.handlers.chart_deploy <*> <*> Installing release <*> in namespace <*> wait <*> timeout <*>_armada.handlers.tiller <*> <*> Helm install release wait <*> timeout <*>
9,armada.handlers.lock <*> <*> lock[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.armada <*> Performing <*> operations.[00m_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Processing ChartGroup <*> <*> sequenced <*>_armada.handlers.chart_deploy <*> <*> Processing Chart release <*>_armada.handlers.chart_deploy <*> <*> known <*> release_name airship-podsecuritypolicy[00m_armada.handlers.wait <*> <*> No Chart timeout specified using default 900s[00m_armada.handlers.chartbuilder <*> <*> Building dependency chart <*> for release <*>_armada.handlers.chart_deploy <*> <*> Installing release <*> in namespace <*> wait <*> timeout <*>_armada.handlers.tiller <*> <*> Helm install release wait <*> timeout <*>
